Occupation title,Proximity to others,Exposure to disease,Total in employment
Insurance underwriters,52.0,5.0,29000
Finance and investment analysts and advisers,42.0,1.0,219000
Taxation experts,47.5,2.8,35000
Importers and exporters,54.2,2.7,6000
Financial and accounting technicians,45.8,3.4,23000
Financial accounts managers,44.0,4.0,176000
Business and related associate professionals n.e.c.,49.3,4.5,184000
Buyers and procurement officers,48.7,4.0,59000
Business sales executives,48.0,5.6,131000
Marketing associate professionals,33.0,2.3,203000
Estate agents and auctioneers,54.8,4.0,53000
Sales accounts and business development managers,45.3,5.3,451000
Conference and exhibition managers and organisers,72.0,0.0,63000
Conservation and environmental associate professionals,68.0,15.0,11000
Public services associate professionals,68.0,18.0,93000
Human resources and industrial relations officers,45.7,14.7,160000
Vocational and industrial trainers and instructors,59.0,2.0,155000
Careers advisers and vocational guidance specialists,45.7,14.7,33000
Inspectors of standards and regulations,68.0,18.0,45000
Health and safety officers,62.2,13.8,60000
National government administrative occupations,59.1,29.1,141000
Local government administrative occupations,57.5,19.0,143000
Officers of non-governmental organisations,57.5,19.0,38000
Credit controllers,43.3,6.3,35000
"Book-keepers, payroll managers and wages clerks",54.0,11.0,428000
Bank and post office clerks,79.0,25.5,97000
Finance officers,54.0,11.0,36000
Financial administrative occupations n.e.c.,79.0,25.5,161000
Records clerks and assistants,56.0,30.0,110000
Pensions and insurance clerks and assistants,56.3,5.3,63000
Stock control clerks and assistants,63.3,9.7,87000
Transport and distribution clerks and assistants,58.0,9.0,60000
Library clerks and assistants,67.5,25.0,24000
Human resources administrative occupations,53.0,14.0,29000
Sales administrators,68.0,10.0,75000
Other administrative occupations n.e.c.,49.5,3.0,740000
Office managers,47.0,9.0,178000
Office supervisors,47.0,9.0,35000
Medical secretaries,56.5,37.0,64000
Legal secretaries,41.0,0.0,39000
School secretaries,50.0,10.5,72000
Company secretaries,44.0,5.5,30000
Personal assistants and other secretaries,50.0,10.5,173000
Receptionists,52.0,31.0,237000
Typists and related keyboard occupations,57.0,11.0,36000
Farmers,43.0,17.2,125000
Horticultural trades,56.7,6.0,17000
Gardeners and landscape gardeners,56.7,6.0,172000
Groundsmen and greenkeepers,56.7,6.0,31000
Agricultural and fishing trades n.e.c.,39.8,9.8,33000
Smiths and forge workers,65.0,1.0,4000
"Moulders, core makers and die casters",68.5,5.5,2000
Sheet metal workers,64.3,12.7,16000
"Metal plate workers, and riveters",72.7,9.7,6000
Welding trades,46.7,0.3,61000
Pipe fitters,73.3,38.3,5000
Metal machining setters and setter-operators,53.6,4.5,53000
"Tool makers, tool fitters and markers-out",61.3,6.8,13000
Metal working production and maintenance fitters,68.4,15.4,223000
Precision instrument makers and repairers,56.3,13.3,22000
Air-conditioning and refrigeration engineers,63.7,17.7,16000
"Vehicle technicians, mechanics and electricians",55.7,10.0,178000
Vehicle body builders and repairers,60.0,11.3,24000
Vehicle paint technicians,61.0,8.0,13000
Aircraft maintenance and related trades,61.5,11.5,29000
Boat and ship builders and repairers,68.4,15.4,15000
Rail and rolling stock builders and repairers,68.4,15.4,10000
Electricians and electrical fitters,71.5,6.5,259000
Telecommunications engineers,48.0,4.5,60000
"TV, video and audio engineers",57.0,6.0,8000
IT engineers,61.4,14.8,37000
Electrical and electronic trades n.e.c.,57.0,6.0,79000
"Skilled metal, electrical and electronic trades supervisors",65.0,1.0,40000
Steel erectors,72.7,9.7,7000
Bricklayers and masons,81.5,12.5,78000
"Roofers, roof tilers and slaters",77.0,4.0,50000
Plumbers and heating and ventilating engineers,73.3,38.3,186000
Carpenters and joiners,80.0,9.0,221000
"Glaziers, window fabricators and fitters",69.0,18.0,40000
Construction and building trades n.e.c.,50.0,4.0,252000
Plasterers,59.0,7.0,48000
Floorers and wall tilers,63.8,8.8,32000
Painters and decorators,54.0,7.5,132000
Construction and building trades supervisors,74.5,7.0,65000
Weavers and knitters,55.0,3.0,3000
Upholsterers,62.0,2.0,13000
Footwear and leather working trades,55.0,3.0,5000
Tailors and dressmakers,63.0,12.0,13000
"Textiles, garments and related trades n.e.c.",50.0,10.0,15000
Pre-press technicians,50.5,1.0,3000
Printers,42.0,0.0,29000
Print finishing and binding workers,55.0,0.0,9000
Butchers,67.5,13.0,29000
Bakers and flour confectioners,55.0,7.0,31000
Fishmongers and poultry dressers,67.5,13.0,11000
Chefs,88.0,20.5,244000
Cooks,66.6,18.4,70000
Catering and bar managers,78.0,10.0,68000
"Glass and ceramics makers, decorators and finishers",51.4,2.6,11000
Furniture makers and other craft woodworkers,54.0,4.3,40000
Florists,68.0,27.0,11000
Other skilled trades n.e.c.,52.0,0.5,37000
Nursery nurses and assistants,88.0,36.0,224000
Childminders and related occupations,79.8,30.0,106000
Playworkers,79.8,30.0,31000
Teaching assistants,88.0,36.0,309000
Educational support assistants,88.0,36.0,167000
Veterinary nurses,90.0,77.0,18000
Pest control officers,49.3,16.0,8000
Animal care services occupations n.e.c.,77.0,41.8,84000
Nursing auxiliaries and assistants,90.0,87.0,338000
Ambulance staff (excluding paramedics),97.0,89.0,23000
Dental nurses,99.5,98.0,52000
Houseparents and residential wardens,88.1,90.6,49000
Care workers and home carers,84.8,41.3,773000
Senior care workers,84.8,41.3,77000
Care escorts,88.1,90.6,13000
"Undertakers, mortuary and crematorium assistants",71.5,68.5,26000
Sports and leisure assistants,72.4,25.8,64000
Travel agents,59.7,5.3,36000
Air travel assistants,85.0,40.0,59000
Rail travel assistants,79.5,21.5,15000
Leisure and travel service occupations n.e.c.,73.5,15.8,29000
Hairdressers and barbers,89.0,32.8,166000
Beauticians and related occupations,89.6,23.6,95000
Housekeepers and related occupations,51.0,47.0,50000
Caretakers,48.0,47.0,70000
Cleaning and housekeeping managers and supervisors,51.0,47.0,71000
Sales and retail assistants,68.0,9.5,1048000
Retail cashiers and check-out operators,72.5,27.5,178000
Telephone salespersons,77.0,5.0,32000
Pharmacy and other dispensing assistants,75.5,40.8,79000
Vehicle and parts salespersons and advisers,68.0,9.5,50000
Collector salespersons and credit agents,67.0,7.0,14000
"Debt, rent and other cash collectors",42.0,7.5,28000
Roundspersons and van salespersons,67.0,7.0,28000
Market and street traders and assistants,67.0,7.0,15000
Merchandisers and window dressers,67.0,0.0,21000
Sales related occupations n.e.c.,67.0,0.0,60000
Sales supervisors,66.0,10.0,174000
Call and contact centre occupations,62.0,37.7,93000
Telephonists,65.5,21.0,7000
Communication operators,65.5,21.0,37000
Market research interviewers,73.0,23.0,13000
Customer service occupations n.e.c.,47.5,17.0,313000
Customer service managers and supervisors,47.0,9.0,180000
"Food, drink and tobacco process operatives",55.8,8.2,130000
Glass and ceramics process operatives,53.3,5.6,3000
Textile process operatives,64.0,5.0,10000
Chemical and related process operatives,53.7,5.2,41000
Rubber process operatives,55.3,5.8,7000
Plastics process operatives,58.3,3.6,18000
Metal making and treating process operatives,54.2,5.0,11000
Electroplaters,55.0,10.7,5000
Process operatives n.e.c.,52.5,7.7,11000
Paper and wood machine operatives,51.0,1.0,25000
Coal mine operatives,53.3,8.3,3000
Quarry workers and related operatives,59.6,7.3,10000
Energy plant operatives,61.9,14.4,7000
Metal working machine operatives,53.6,4.5,58000
Water and sewerage plant operatives,58.3,11.5,14000
Printing machine assistants,42.0,0.0,9000
Plant and machine operatives n.e.c.,54.0,3.5,20000
Assemblers (electrical and electronic products),53.4,3.0,26000
Assemblers (vehicles and metal goods),64.5,4.5,44000
Routine inspectors and testers,65.0,4.0,73000
"Weighers, graders and sorters",65.0,4.0,17000
"Tyre, exhaust and windscreen fitters",55.7,10.0,17000
Sewing machinists,62.0,0.0,33000
Assemblers and routine operatives n.e.c.,66.0,0.0,43000
"Scaffolders, stagers and riggers",70.5,7.5,27000
Road construction operatives,76.5,20.0,22000
Rail construction and maintenance operatives,76.5,20.0,9000
Construction operatives n.e.c.,68.5,29.5,109000
Large goods vehicle drivers,54.0,11.5,304000
Van drivers,75.8,27.4,283000
Bus and coach drivers,73.8,43.3,118000
Taxi and cab drivers and chauffeurs,75.8,27.4,231000
